index,I_float,Q_float
918,-0.938965,-0.390625
919,-0.388672,0.92334
920,0.389404,-0.925781
921,-0.384277,-0.916016
922,0.921387,-0.406494
923,0.925781,0.381836
924,0.92627,-0.387207
925,0.928223,-0.391602
926,0.378906,0.92041
927,0.37793,-0.916016
928,-0.938965,0.392578
929,0.373047,-0.935547
930,0.37207,0.921875
931,-0.37085,0.936523
932,0.379883,0.925781
933,-0.38208,0.916992
934,0.38208,-0.921387
935,0.919434,0.372559
936,-0.378662,-0.910645
937,-0.371094,-0.925781
938,-0.916992,0.38623
939,-0.390869,0.901367
940,0.914062,0.386475
941,0.368408,0.931152
942,-0.389893,0.926758
943,-0.376953,-0.920898
944,0.916992,-0.370605
945,-0.931152,0.376709
946,0.922363,-0.376953
947,-0.925781,0.384521
948,0.377686,-0.914062
949,0.382812,0.917969
950,0.925781,-0.380371
951,-0.374756,-0.927246
952,-0.379639,-0.92041
953,-0.923828,0.38623
954,-0.921387,0.38916
955,-0.403809,-0.916992
956,0.917969,-0.402344
957,0.925293,0.385254
958,-0.400146,-0.921875
959,-0.935547,-0.375244
960,-0.383789,0.92041
961,-0.931152,-0.384521
962,0.368164,-0.940918
963,-0.377441,0.914062
964,0.366455,0.916016
965,-0.918457,-0.385742
966,-0.390137,0.92334
967,0.383545,-0.91748
968,0.914551,-0.379395
969,0.930176,0.387695
970,0.924805,-0.369629
971,-0.380127,-0.916992
972,-0.936523,0.389404
973,0.922363,-0.384277
974,0.383789,0.930176
975,0.924316,-0.36792
976,-0.912598,0.392822
977,-0.389893,-0.927734
978,-0.917969,0.399902
979,0.373535,-0.931152
980,-0.383301,-0.935059
981,-0.927246,0.387451
982,-0.924316,-0.388428
983,-0.927246,-0.390625
984,-0.384277,-0.9375
985,-0.924805,-0.386719
986,0.912109,-0.370605
987,-0.914551,-0.379883
988,-0.919922,0.386719
989,-0.925293,0.373047
990,0.385742,-0.90332
991,0.913086,0.394775
992,-0.908691,-0.39917
993,0.912109,-0.374023
994,-0.907715,-0.391602
995,-0.913086,-0.392578
996,0.910156,0.374512
997,0.369385,0.918457
998,0.905273,-0.373291
999,0.366211,0.918457
1000,0.932129,-0.375977
1001,0.382568,0.91748
1002,0.366211,0.914551
1003,0.914551,-0.376709
1004,0.921387,-0.371826
1005,0.373291,0.930176
1006,-0.388916,0.914551
1007,-0.365967,-0.914551
1008,0.914062,-0.371826
1009,-0.383789,0.921875
1010,0.921875,0.38623
