index,I_float,Q_float
539,0.371094,0.92041
540,-0.381104,-0.909668
541,-0.378418,0.921387
542,0.377441,0.921875
543,0.376465,0.91748
544,-0.382568,0.930664
545,0.924316,-0.381836
546,-0.911133,-0.392578
547,-0.931152,-0.39624
548,-0.91748,-0.369629
549,0.374268,0.924805
550,-0.376953,0.907715
551,0.38501,-0.904297
552,-0.388184,-0.936035
553,0.929688,0.377441
554,-0.369873,-0.921875
555,-0.381836,0.915527
556,0.924316,0.378174
557,0.377686,0.921387
558,0.365479,0.893066
559,-0.349854,0.932129
560,0.376221,-0.925293
561,-0.938965,0.385742
562,0.919434,0.372559
563,0.912109,-0.370605
564,-0.935059,0.385742
565,-0.937988,0.377686
566,-0.936523,-0.387939
567,0.928711,-0.38501
568,0.935059,0.388916
569,0.397949,0.928711
570,0.929199,0.378174
571,-0.393555,0.929199
572,-0.376709,0.917969
573,0.919922,0.378174
574,0.918945,0.378418
575,-0.365234,0.933105
576,-0.924805,-0.377197
577,-0.386475,0.922363
578,0.908203,0.370117
579,0.393066,-0.91748
580,-0.922363,-0.37793
581,-0.378662,-0.915527
582,-0.929199,0.383545
583,-0.385254,-0.908691
584,0.927734,-0.375732
585,0.366699,-0.933105
586,0.371094,0.922363
587,-0.375,0.916016
588,-0.92627,0.38208
589,0.395996,-0.929688
590,0.385498,-0.921875
591,-0.389893,-0.929688
592,-0.404297,-0.938477
593,-0.933594,-0.393555
594,-0.378662,-0.910645
595,-0.914551,-0.379883
596,-0.397705,0.924805
597,-0.941406,-0.383545
598,-0.935547,-0.391357
599,-0.936035,0.385742
600,0.380127,-0.933594
601,0.935059,0.36377
602,0.916016,0.403076
603,0.92041,-0.381104
604,0.37793,-0.904785
605,0.911133,-0.371826
606,-0.378174,-0.930176
607,0.931152,0.390625
608,-0.392334,-0.924805
609,0.924805,0.391846
610,0.384521,-0.916992
611,-0.905762,-0.382568
612,-0.929199,-0.376709
613,-0.916016,-0.370361
614,0.922852,0.386475
615,-0.919922,0.377686
616,0.928223,0.377441
617,0.93457,0.375977
618,-0.38623,-0.917969
619,-0.922363,-0.382324
620,0.919922,-0.386963
621,0.924805,0.386719
622,0.927246,-0.387695
623,0.926758,0.384521
624,-0.40625,-0.936523
625,-0.391602,-0.919922
626,-0.371094,-0.925781
627,-0.919922,0.386719
628,-0.926758,-0.390625
629,0.383301,0.92627
630,0.383057,0.938965
631,0.390625,0.919922
632,0.927246,0.381348
633,-0.380127,-0.92334
634,0.922852,-0.378418
635,-0.916992,-0.377441
636,0.365723,-0.911133
637,0.928223,0.375
638,0.911621,-0.382568
639,-0.386719,-0.92041
640,0.375977,0.932617
641,-0.396973,-0.919922
642,0.922852,0.389648
643,0.924316,0.402832
644,-0.377197,0.920898
645,0.389404,0.924805
646,0.383057,0.915527
647,0.92041,0.381836
648,0.945312,-0.381592
649,-0.409668,-0.945801
650,-0.915039,0.372559
651,0.916504,0.379395
652,0.37207,-0.927246
653,0.939453,-0.379883
654,0.381592,0.912109
655,-0.377441,0.925293
656,0.375488,-0.935547
657,0.929199,-0.386719
658,-0.916992,0.38623
659,-0.925293,0.373047
660,0.373047,0.933105
661,0.928223,0.381348
662,-0.924316,-0.37793
663,0.927734,0.398193
664,-0.378174,-0.93457
665,-0.401367,-0.921387
666,0.380127,0.938477
667,0.373291,-0.914551
668,-0.374268,-0.916504
669,-0.915039,-0.376221
670,-0.378174,0.921875
671,0.376953,0.930664
672,-0.919434,-0.378418
673,0.399414,0.932129
674,0.371338,0.92041
675,0.372559,0.929688
676,0.92041,-0.377197
677,0.917969,-0.381348
678,-0.918457,0.377197
679,0.931641,0.392822
680,0.403076,-0.923828
681,0.378174,-0.945312
682,-0.389404,-0.928223
683,-0.915527,-0.385498
684,0.92627,0.383545
685,-0.925781,-0.403564
686,-0.368652,-0.932617
687,-0.927246,0.362549
688,0.349609,-0.916016
689,0.91748,0.365479
690,-0.390869,0.901367
691,0.385742,-0.90332
692,-0.391113,-0.93457
693,0.922852,0.376953
694,0.379395,-0.938965
695,0.935059,-0.377686
696,-0.922363,0.375977
697,-0.930176,0.38623
698,0.376953,0.926758
699,-0.373047,-0.90918
700,0.376221,-0.91748
701,-0.394287,0.923828
702,0.931152,0.39624
703,0.927734,-0.387939
704,0.900391,0.377441
705,-0.923828,0.376709
706,-0.922852,0.37915
707,0.383545,0.932129
708,0.384766,0.930664
709,0.918945,-0.393066
710,-0.927734,0.372559
711,-0.903809,0.374512
712,-0.928711,-0.382812
713,0.385742,0.929199
714,-0.379395,-0.925781
715,-0.910645,-0.387695
716,-0.383057,0.916504
717,0.91748,0.39502
718,-0.373291,-0.930664
719,-0.918945,-0.39502
720,0.902344,0.376709
721,0.906738,-0.388428
722,0.914062,0.386475
723,0.913086,0.394775
724,0.930664,0.383545
725,0.92334,0.386719
726,0.365967,0.938965
727,0.908691,0.383789
